Year,Month,ppt (mm),tmean (degrees C),PET,spei_1,spei_12,Site,Wat.Bal,spei1_RP,spei12_RP,ppt.anomaly,tmean.anomaly
1950,1,8.83,-7.7,0,0.29003833321928063,NA,Arapaho,8.83,0.30203271928167663,NA,-28.037750000000003,-16.310417
1950,2,8.91,0.1,0.16787959429985425,0.21071762251582177,NA,Arapaho,8.742120405700145,0.12350825822602826,NA,-27.95775,-8.510417
1950,3,17.99,-0.2,0,0.29409566374468826,NA,Arapaho,17.99,0.21786907432055133,NA,-18.877750000000002,-8.810417
1950,4,22.64,5.8,25.339919047044333,-0.43264403144408514,NA,Arapaho,-2.6999190470443324,-0.338658612752977,NA,-14.22775,-2.810417
1950,5,56.63,11.4,62.736545089249,-0.18369001421717682,NA,Arapaho,-6.106545089248996,-0.3266220343644298,NA,19.76225,2.7895830000000004
1950,6,31.81,19.1,115.70511418987451,-1.293731926710048,NA,Arapaho,-83.8951141898745,-1.2659524323918956,NA,-5.057750000000002,10.489583000000001
1950,7,109.12,20.1,124.74455100626496,1.509612635895835,NA,Arapaho,-15.624551006264952,1.5246168496252404,NA,72.25225,11.489583000000001
1950,8,84.43,19.3,110.56063615376102,1.5963820575325351,NA,Arapaho,-26.130636153761017,1.7258825865223995,NA,47.562250000000006,10.689583
1950,9,63.88,14.9,71.05780930794374,1.0299606741221974,NA,Arapaho,-7.17780930794374,1.046648205492379,NA,27.01225,6.289583
1950,10,7.41,11.8,49.54279482627134,-1.7303503330104004,NA,Arapaho,-42.132794826271336,-1.9029687449430854,NA,-29.45775,3.1895830000000007
1950,11,11.19,1.4,3.5735489996337733,0.19549529888076642,NA,Arapaho,7.616451000366226,0.20859543315779822,NA,-25.677750000000003,-7.210417
1950,12,3.77,-0.6,0,-0.61738299702017,0.5297433735302473,Arapaho,3.77,-0.874522745592078,0.5830053086885926,-33.09775,-9.210417
1951,1,4.76,-4.4,0,-0.5000748567470523,0.5331107474563299,Arapaho,4.76,-0.4799523064997953,0.5165800501103929,-32.10775,-13.010417
1951,2,6.54,-0.4,0,-0.0726107664880658,0.5084610684242081,Arapaho,6.54,-0.13145659342263483,0.5021429340351463,-30.32775,-9.010417
1951,3,5.59,-0.7,0,-0.5091455653123277,0.38364234145697274,Arapaho,5.59,-0.5445023621531682,0.37395403777556113,-31.27775,-9.310417
1951,4,41.22,5.4,23.323185911511324,0.3902314681153692,0.5778841499590684,Arapaho,17.896814088488675,0.5131592799054058,0.5494282952739572,4.352249999999998,-3.2104169999999996
1951,5,88.47,13.4,75.68197102221642,0.36409858776285614,0.7912317176368603,Arapaho,12.788028977783583,0.21638009240092335,0.8054284536132243,51.60225,4.789583
1951,6,120.74,15,87.40978809321821,1.5329650749593118,1.6763535034408878,Arapaho,33.330211906781784,1.6331820089246245,2.117662191286219,83.87225,6.389583
