"","VR","model","df","logLik","AIC","BIC","deviance","df.residual","nobs","adj.r.squared","npar","edf","statistic","p.value","AIC"
"1","Recruitment of Seedling","Mean Temperature Anomaly",2.82633651251689,-32.6807212791295,73.0141155832927,76.6278569331214,34.6964659823071,16.1736634874831,19,0.143302457151872,12,0.826336512516871,0.351458094333142,0.040469465944287,9.56190521080053
"2","","Total Precipitation Anomaly",3.00407592995705,-30.0325782325731,68.0733083250603,71.8549137088538,26.2557742752695,15.995924070043,19,0.344509837349717,12,1.00407592995705,0.946117674745592,0.00394535493083403,4.62109795256806
"3","","Drought Index, SPEI",3.21392891619997,-27.5121762700461,63.4522103724922,67.432009096388,20.1374339288843,15.7860710838,19,0.490574410498385,12,1.21392891619997,1.67418017789754,0.000548757749846307,0
"4","Recruitment of Flowering Multiple Rosette","Mean Temperature Anomaly",2.00000000059012,-30.0957788916921,66.1915577845644,69.024874722621,26.4310284002638,16.9999999994099,19,0.0441663900329315,12,3.13824358779327e-10,3.6578208484458e-11,0.299581676747205,0.914461614409802
"5","","Total Precipitation Anomaly",2.00000005842731,-30.0957788580778,66.1915578330101,69.0248748256905,26.4310283067417,16.9999999415727,19,0.044166390163079,12,5.84273128638896e-08,3.04417490651747e-09,0.501635426121832,0.914461662855572
"6","","Drought Index, SPEI",2.47599104013881,-29.1625570449385,65.2770961701546,68.5599575996949,23.9580589914627,16.5240089598612,19,0.108639539053149,12,0.475991040138814,0.106994922782548,0.140790719957461,0
"7","Recruitment of Flowering Single Rosette","Mean Temperature Anomaly",7.46904838707963,-14.0739596585384,45.0860160912361,53.0845155044408,4.89410466164601,11.5309516129204,19,0.506640984011977,12,5.46904838707968,1.5538955995017,0.0554551332859199,11.2133822716308
"8","","Total Precipitation Anomaly",9.11852273800712,-9.86017801739341,39.9574015108011,49.5137287961569,3.14079322760118,9.88147726199288,19,0.630535737402238,12,7.11852273800702,2.66487598911507,0.0270152022885255,6.08476769119574
"9","","Drought Index, SPEI",7.5223353952628,-8.41398151453986,33.8726338196053,41.9214595604213,2.69728086210078,11.4776646047372,19,0.726833393547912,12,5.5223353952628,3.98216802709778,0.00233921017056371,0
"10","Recruitment of Single Rosette","Mean Temperature Anomaly",2.65313276267269,-15.1996691035346,37.7056037324145,41.1557647095526,5.50979314958624,16.3468672373273,19,0.0707457740030776,12,0.653132762672698,0.200262677873955,0.0833018480257278,2.35149376848262
"11","","Total Precipitation Anomaly",3.60025072623554,-13.7804901662395,36.7614817849502,41.1061378847457,4.74522963001352,15.3997492737645,19,0.150472642609783,12,1.60025072623555,0.462485322438286,0.0852480415076152,1.40737182101829
"12","","Drought Index, SPEI",3.57046002505354,-13.1065949569124,35.3541099639319,39.6706305643145,4.42028196556394,15.4295399749465,19,0.210175172929418,12,1.57046002505354,0.598060232751305,0.0446067298714047,0
"13","Recruitment of Multiple Rosette","Mean Temperature Anomaly",1.99999999993717,-14.6924708901879,35.3849417802501,38.21825871769,5.22334392749127,17.0000000000628,19,-0.0476978057996917,12,5.85721890935227e-10,2.81771587528327e-11,0.545294734771625,7.08081126461525
"14","","Total Precipitation Anomaly",7.54740294520089,-6.33932662208398,29.7734591345697,37.8459596466595,2.16811787377933,11.4525970547991,19,0.354471766166131,12,5.54740294520086,1.34817585088391,0.091557213745295,1.46932861893492
