"","VR","model","df","logLik","AIC","BIC","deviance","df.residual","nobs","adj.r.squared","npar","edf","statistic","p.value","AIC"
"1","Recruitment of Seedling","Mean Temperature Anomaly",0.999999999415372,-21.1445502251544,46.2891004491396,48.1779784069203,10.3016496408854,18.0000000005846,19,0.160529033814577,12,8.02248753354642e-09,2.08827600697631e-12,0.969092508328299,11.1799918170057
"2","","Total Precipitation Anomaly",3.73415167872472,-13.3251559366819,36.1186152308133,40.5897326094872,4.52315566442083,15.2658483212753,19,0.565141812473886,12,1.73415184943029,1.77103237485044,0.0015215782783371,1.00950659867944
"3","","Drought Index, SPEI",3.83696352808661,-12.7175907879803,35.1091086321339,39.6773255288653,4.24293683786839,15.1630364719134,19,0.589316317782775,12,1.83696352808661,1.95297275115897,0.00113789305133638,0
"4","Recruitment of Flowering Single Rosette","Mean Temperature Anomaly",2.00000000150476,-18.6485379971041,43.2970759972177,46.1303929361382,7.92138379735311,16.9999999984952,19,0.0377638850533761,12,1.7855421570514e-09,7.67135678951599e-11,0.559072492909829,1.24957466596243e-09
"5","","Total Precipitation Anomaly",2.00000012047198,-18.6485379974242,43.2970762357923,46.13039328707,7.92138379762,16.999999879528,19,0.0377638782871598,12,9.07430928712687e-08,3.60635291382292e-11,0.996455484783033,2.39824160530588e-07
"6","","Drought Index, SPEI",2.00000000004693,-18.6485379979371,43.2970759959681,46.1303929335118,7.92138379804773,16.9999999999531,19,0.0377638850515152,12,4.69324916139829e-11,1.98253517931473e-12,0.589764561480498,0
"7","Recruitment of Single Rosette","Mean Temperature Anomaly",2.00000000268215,-9.52671791511619,25.0534358355967,27.8867527756291,3.03246046567202,16.9999999973179,19,0.261208186399712,12,6.14149789244084e-10,9.17404556091824e-12,0.786960986649575,4.36558964350865
"8","","Total Precipitation Anomaly",2.00000015628361,-9.52671774774976,25.0534358080667,27.8867528931664,3.03246041224759,16.9999998437164,19,0.261208192740127,12,1.77344943389469e-07,1.70343214039622e-08,0.353256114155134,4.36558961597871
"9","","Drought Index, SPEI",3.71086376585783,-5.63305933018618,20.687846192088,25.136969558107,2.01277733385985,15.2891362341422,19,0.454758842870025,12,1.71086376585783,0.629543920111079,0.0475723934880754,0
"10","Recruitment of Multiple Rosette","Mean Temperature Anomaly",2.00000000411473,3.83214412547655,-1.66428824272365,1.16902869866178,0.743176524231738,16.9999999958853,19,-0.0555980472644935,12,3.67546702411392e-09,4.20670954059597e-10,0.301928822323012,0.342883081564884
"11","","Total Precipitation Anomaly",2.27930807685803,4.28289373900229,-2.00717132428854,1.08993504819152,0.708738246756078,16.720691923142,19,-0.0234983377916307,12,0.279323945478561,0.0459685728015893,0.211692071718748,0
"12","","Drought Index, SPEI",2.0000000004529,3.83214412031059,-1.66428823971536,1.1690286982117,0.743176524635866,16.9999999995471,19,-0.055598047611136,12,4.52904865637811e-10,1.39206210250042e-11,0.670544005224829,0.342883084573174
"13","Multiple Rosette to Multiple Rosette","Mean Temperature Anomaly",2.6107302982447,33.3577627066508,-59.4940648168123,-56.0839503798927,0.0332140755668954,16.3892697017553,19,0.0507520979490413,12,0.610736141564718,0.143628429184208,0.133138073926886,0
"14","","Total Precipitation Anomaly",2.0000000508318,32.1708635607666,-58.3417270198697,-55.5084100343628,0.0376340979994311,16.9999999491682,19,-0.0369305504047994,12,6.43001859192504e-08,3.10230433244711e-09,0.54615546375494,1.15233779694262
"15","","Drought Index, SPEI",2.000000004053,32.1708635343271,-58.3417270605483,-55.5084101192211,0.0376340981041708,16.999999995947,19,-0.036930550437372,12,4.0530024323926e-09,8.68524761264716e-11,0.749929865608733,1.15233775626404
"16","Multiple Rosette to Flowering Multiple Rosette","Mean Temperature Anomaly",4.79097746580168,-20.2161291431954,52.0142132179943,57.4834380641719,9.34251517597088,14.2090225341983,19,0.276868592691095,12,2.79097746633657,0.4829841306347,0.199807811906394,0
"17","","Total Precipitation Anomaly",2.00000007510218,-23.5427961460336,53.0855924422716,55.9189094507003,13.2599866870053,16.9999999248978,19,0.142149153840851,12,4.9924991284141e-08,1.94695942019497e-10,0.944442376297308,1.07137922427731
"18","","Drought Index, SPEI",2.00000000029008,-23.5427961492445,53.0855922990691,55.9189092368424,13.2599866914871,16.9999999997099,19,0.142149157326061,12,2.90077146356995e-10,5.59057296266201e-12,0.77054375657595,1.07137908107489
"19","Multiple Rosette to Flowering Single Rosette","Mean Temperature Anomaly",4.74682650639747,6.63101787272333,-1.76838273265171,3.65914422649696,0.55352964528593,14.2531734936025,19,0.107605485459391,12,2.74683062472315,0.387719867176843,0.276041653617696,0
"20","","Total Precipitation Anomaly",2.00000016382418,3.68232662901183,-1.3646529303753,1.46866416184597,0.754989515478807,16.9999998361758,19,-0.0205154445719014,12,1.82911862134268e-07,8.76394637953351e-09,0.548037873087482,0.403729802276414
"21","","Drought Index, SPEI",2.00000000030228,3.68232654131209,-1.36465308201962,1.46866385576518,0.754989522448532,16.9999999996977,19,-0.02051544417657,12,3.02282146802812e-10,2.56812176597299e-12,0.889293912617854,0.403729650632088
"22","Survival of Multiple Rosette","Mean Temperature Anomaly",2.00000000250465,-10.8519919877513,27.7039839805118,30.5373009203767,3.48642501022622,16.9999999974954,19,0.0652763902123561,12,7.35105360403711e-10,8.87071431868348e-12,0.821143708602986,4.16985557194494e-09
"23","","Total Precipitation Anomaly",2.00000019700755,-10.8519919318925,27.7039842578002,30.5373013813611,3.4864249897265,16.9999998029924,19,0.0652763850139099,12,1.30989020523989e-07,3.34505869523056e-09,0.703928095922944,2.81458166995208e-07
"24","","Drought Index, SPEI",2.00000000005507,-10.8519919881159,27.703983976342,30.5373009138933,3.48642501036004,16.9999999999449,19,0.0652763903111645,12,5.50713585849516e-11,4.55128431014188e-13,0.892174846379515,0
"25","Single Rosette to Single Rosette","Mean Temperature Anomaly",2.00000000163399,1.54702713140372,2.90594574046055,5.73926267950307,0.945271540382939,16.999999998366,19,-0.0552463297930363,12,1.80411542877212e-09,9.70670584829028e-12,0.914136800283724,2.62266963702018e-09
"26","","Total Precipitation Anomaly",2.00000008345684,1.54702715601717,2.90594585487936,5.73926287119857,0.945271537933846,16.9999999165432,19,-0.0552463321380259,12,1.02295463123653e-07,2.70861975822321e-09,0.695917701386419,1.17041480507396e-07
"27","","Drought Index, SPEI",2.0000000002746,1.54702713135566,2.90594573783788,5.73926267559654,0.945271540387721,16.9999999997254,19,-0.0552463297139925,12,2.74601358435505e-10,3.2483563567621e-12,0.849465457729307,0
"28","Single Rosette to Multiple Rosette","Mean Temperature Anomaly",2.00000000192484,-7.34210405434582,20.6842081125413,23.5175250518585,2.40948967293172,16.9999999980752,19,-0.0585128447573042,12,6.63002971399886e-10,4.15170216072684e-12,0.900637427621906,3.61416496730271e-09
"29","","Total Precipitation Anomaly",2.00000003540148,-7.34210404075875,20.6842081523205,23.5175251232543,2.40948966948563,16.9999999645985,19,-0.0585128453278376,12,6.45377345111229e-08,2.22156516070332e-09,0.634073243091937,4.33933067256476e-08
"30","","Drought Index, SPEI",2.00000000010168,-7.3421040543619,20.6842081089272,23.5175250465225,2.4094896729358,16.9999999998983,19,-0.0585128446455754,12,1.01681531033351e-10,1.49129686263727e-12,0.817860974736297,0
"31","Single Rosette to Flowering Single Rosette","Mean Temperature Anomaly",2.00000000062806,-20.7113059431485,47.4226118875531,50.2559288256456,9.8423979989725,16.9999999993719,19,-0.00406031623958913,12,1.74906291128978e-09,1.15818799836906e-11,0.895246826442182,0.00247348359717847
"32","","Total Precipitation Anomaly",2.00884496840739,-20.7012242335706,47.4201384039559,50.2618088743887,9.83195846584643,16.9911550315926,19,-0.00351746223685301,12,0.00884539224142461,0.000904917966372424,0.335861436836411,0
"33","","Drought Index, SPEI",2.00000000048409,-20.7113059426307,47.4226118862295,50.255928824186,9.84239799843603,16.9999999995159,19,-0.00406031617635882,12,4.84089464457073e-10,5.55183730968731e-11,0.306153418452741,0.0024734822736221
"34","Single Rosette to Inactive","Mean Temperature Anomaly",2.00000000021291,-25.1853280944166,56.370656189259,59.2039731269594,15.7627424180707,16.9999999997871,19,-0.0304538445771472,12,5.51400402304717e-10,3.63678630594923e-11,0.447473391638623,3.92764456590796
"35","","Total Precipitation Anomaly",3.67417051965561,-21.5473352920199,52.4430116233511,56.8574804573845,10.7478149109153,15.3258294803444,19,0.220633245360052,12,1.67417052114264,0.584474281555896,0.055515797788313,0
"36","","Drought Index, SPEI",3.3042417441784,-23.3217286403996,55.2519407691561,59.3170344481135,12.954985788316,15.6957582558216,19,0.0827233753818982,12,1.30424174417841,0.241440520733575,0.185453341559669,2.80892914580501
"37","Survival of Single Rosette","Mean Temperature Anomaly",2.00051424504156,-6.46343127213785,18.9278910343588,21.7616936449202,2.19662721368301,16.9994857549584,19,0.0369097458843101,12,0.000514250156364595,1.40259477207433e-05,0.667849466486626,1.45782646113574
"38","","Total Precipitation Anomaly",2.00000005907956,-6.46358798436477,18.9271760868887,21.760493080185,2.19666344959687,16.9999999409204,19,0.0369229889263494,12,8.48767283665318e-08,5.64935443072089e-09,0.456722647102779,1.45711151366559
"39","","Drought Index, SPEI",3.59531941862121,-4.13971286799033,17.4700645732231,21.8100633538894,1.71999461846188,15.4046805813788,19,0.167813238369462,12,1.59531941862121,0.31147981193604,0.172688496709414,0
"40","Inactive to Single Rosette","Mean Temperature Anomaly",4.74209156966794,1.89214168727797,7.69989976477994,13.1229548651173,0.911548117927031,14.2579084303321,19,0.051955393549473,12,7.16429567314658e-10,2.49211453447428e-12,0.944726218729969,0.740758347942427
"41","","Total Precipitation Anomaly",2.23986497331024,-0.239705735108512,6.95914141683751,10.0189961848677,1.14087338400327,16.7601350266898,19,-0.00940378638972561,12,0.239901517013699,0.0383637512446966,0.218783271434668,0
"42","","Drought Index, SPEI",2.00000000047861,-0.621822175344739,7.24364435164669,10.076961289598,1.1876978797018,16.9999999995214,19,-0.0360054834278947,12,4.78606883845256e-10,3.74096555255881e-11,0.415546659305653,0.284502934809183
"43","Inactive to Multiple Rosette","Mean Temperature Anomaly",4.74209122200112,1.89209198417148,7.69999847565928,13.1230532476466,0.911552887073525,14.2579087779989,19,0.0519552149774549,12,7.16429713759534e-10,2.49198898817259e-12,0.944729127158686,0.74076322335537
