Year,inactive,MF,MR,not.tagged,Seedling,SF,SR,Recruitment,Total,Prop.inactive,Prop.MF,Prop.MR,Prop.Seedling,Prop.SF,Prop.SR,Prop.Rec,Plot,Site
1990,0,0,0,0,1,6,37,NA,44,0,0,0,2.272727272727273,13.636363636363635,84.0909090909091,NA,UAB,Arapaho
1991,0,1,1,0,10,3,32,26,47,0,2.127659574468085,2.127659574468085,21.27659574468085,6.382978723404255,68.08510638297872,55.319148936170215,UAB,Arapaho
1992,1,1,1,0,1,6,27,18,37,2.7027027027027026,2.7027027027027026,2.7027027027027026,2.7027027027027026,16.216216216216218,72.97297297297297,48.64864864864865,UAB,Arapaho
1993,0,0,2,0,28,6,66,81,102,0,0,1.9607843137254901,27.450980392156865,5.88235294117647,64.70588235294117,79.41176470588235,UAB,Arapaho
1994,2,0,7,0,11,14,97,74,131,1.5267175572519083,0,5.343511450381679,8.396946564885496,10.687022900763358,74.04580152671755,56.48854961832062,UAB,Arapaho
1995,0,2,6,0,5,26,101,71,140,0,1.4285714285714286,4.285714285714286,3.571428571428571,18.571428571428573,72.14285714285714,50.71428571428571,UAB,Arapaho
1996,5,2,6,0,5,15,127,81,160,3.125,1.25,3.75,3.125,9.375,79.375,50.625,UAB,Arapaho
1997,4,1,7,0,0,18,160,97,190,2.1052631578947367,0.5263157894736842,3.684210526315789,0,9.473684210526317,84.21052631578947,51.05263157894737,UAB,Arapaho
1998,1,2,12,0,1,14,193,104,223,0.4484304932735426,0.8968609865470852,5.381165919282512,0.4484304932735426,6.278026905829597,86.54708520179372,46.63677130044843,UAB,Arapaho
1999,3,3,13,0,1,24,180,85,224,1.3392857142857142,1.3392857142857142,5.803571428571429,0.4464285714285714,10.714285714285714,80.35714285714286,37.94642857142857,UAB,Arapaho
2000,4,0,14,0,1,14,183,71,216,1.8518518518518516,0,6.481481481481481,0.4629629629629629,6.481481481481481,84.72222222222221,32.870370370370374,UAB,Arapaho
2001,10,3,2,0,9,31,76,28,131,7.633587786259542,2.2900763358778624,1.5267175572519083,6.870229007633588,23.66412213740458,58.01526717557252,21.374045801526716,UAB,Arapaho
2002,0,0,18,0,0,1,90,59,109,0,0,16.51376146788991,0,0.9174311926605505,82.56880733944955,54.12844036697248,UAB,Arapaho
2003,7,1,0,0,0,4,52,28,64,10.9375,1.5625,0,0,6.25,81.25,43.75,UAB,Arapaho
2004,0,0,9,0,1,3,90,65,103,0,0,8.737864077669903,0.9708737864077669,2.912621359223301,87.37864077669903,63.10679611650486,UAB,Arapaho
2005,7,1,4,0,0,17,129,85,158,4.430379746835443,0.6329113924050633,2.5316455696202533,0,10.759493670886076,81.64556962025317,53.79746835443038,UAB,Arapaho
2006,5,2,12,0,0,25,114,69,158,3.1645569620253164,1.2658227848101267,7.59493670886076,0,15.822784810126583,72.15189873417721,43.67088607594937,UAB,Arapaho
2007,7,20,12,0,16,40,149,147,244,2.8688524590163933,8.19672131147541,4.918032786885246,6.557377049180328,16.39344262295082,61.065573770491795,60.245901639344254,UAB,Arapaho
2008,0,0,17,103,21,0,350,355,388,0,0,4.381443298969072,5.412371134020619,0,90.20618556701031,91.49484536082474,UAB,Arapaho
2009,0,1,8,428,0,17,243,212,269,0,0.37174721189591076,2.973977695167286,0,6.319702602230483,90.33457249070632,78.81040892193309,UAB,Arapaho
1990,0,0,0,0,0,1,40,NA,41,0,0,0,0,2.4390243902439024,97.5609756097561,NA,UAA,Arapaho
1991,0,0,1,0,2,2,23,6,28,0,0,3.571428571428571,7.142857142857142,7.142857142857142,82.14285714285714,21.428571428571427,UAA,Arapaho
1992,1,1,2,0,0,7,28,20,39,2.564102564102564,2.564102564102564,5.128205128205128,0,17.94871794871795,71.7948717948718,51.28205128205128,UAA,Arapaho
1993,0,3,4,0,11,15,52,59,85,0,3.5294117647058822,4.705882352941177,12.941176470588237,17.647058823529413,61.1764705882353,69.41176470588235,UAA,Arapaho
1994,1,0,5,0,4,18,93,70,121,0.8264462809917356,0,4.132231404958678,3.3057851239669422,14.87603305785124,76.85950413223141,57.85123966942148,UAA,Arapaho
1995,1,1,6,0,9,4,121,76,142,0.7042253521126761,0.7042253521126761,4.225352112676056,6.338028169014084,2.8169014084507045,85.2112676056338,53.52112676056338,UAA,Arapaho
1996,2,3,7,0,5,6,159,76,182,1.098901098901099,1.6483516483516485,3.8461538461538463,2.7472527472527473,3.296703296703297,87.36263736263736,41.75824175824176,UAA,Arapaho
1997,4,0,5,0,2,10,190,89,211,1.8957345971563981,0,2.3696682464454977,0.9478672985781991,4.739336492890995,90.04739336492891,42.18009478672986,UAA,Arapaho
1998,2,1,21,0,8,8,204,99,244,0.819672131147541,0.4098360655737705,8.60655737704918,3.278688524590164,3.278688524590164,83.60655737704919,40.57377049180328,UAA,Arapaho
1999,2,1,16,0,1,9,201,90,230,0.8695652173913043,0.43478260869565216,6.956521739130435,0.43478260869565216,3.91304347826087,87.39130434782608,39.130434782608695,UAA,Arapaho
2000,3,2,10,0,0,4,174,51,193,1.5544041450777202,1.0362694300518136,5.181347150259067,0,2.072538860103627,90.15544041450777,26.42487046632124,UAA,Arapaho
2001,6,1,5,0,7,4,48,25,71,8.450704225352112,1.4084507042253522,7.042253521126761,9.859154929577464,5.633802816901409,67.6056338028169,35.2112676056338,UAA,Arapaho
