SPECIES,SITE,PLOT,Year,Month,NEWROS,RAMET,stage.modified,PrevStage,PrevYear,NextStage,NextYear,firstYear,firstStage,lastYear,lastStage,Survival
WL,APP,PLOT A,2002,May,3,1,SR,First.Appearance,NA,Dead,NA,2002,SR,2002,SR,No
WL,APP,PLOT A,2004,June,6,2,SR,First.Appearance,NA,SR,2005,2004,SR,2009,SF,Yes
WL,APP,PLOT A,2005,July,6,2,SR,SR,2004,SR,2006,2004,SR,2009,SF,Yes
WL,APP,PLOT A,2006,July,6,2,SR,SR,2005,SR,2007,2004,SR,2009,SF,Yes
WL,APP,PLOT A,2007,July,6,2,SR,SR,2006,SR,2008,2004,SR,2009,SF,Yes
WL,APP,PLOT A,2008,June,6,2,SR,SR,2007,SF,2009,2004,SR,2009,SF,Yes
WL,APP,PLOT A,2009,June,6,2,SF,SR,2008,Dead,NA,2004,SR,2009,SF,No
WL,APP,PLOT A,2004,June,7,3,SR,First.Appearance,NA,SR,2005,2004,SR,2007,SF,Yes
WL,APP,PLOT A,2005,July,7,3,SR,SR,2004,SR,2006,2004,SR,2007,SF,Yes
WL,APP,PLOT A,2006,July,7,3,SR,SR,2005,SF,2007,2004,SR,2007,SF,Yes
WL,APP,PLOT A,2007,July,7,3,SF,SR,2006,Dead,NA,2004,SR,2007,SF,No
WL,APP,PLOT A,2005,July,8,4,SR,First.Appearance,NA,Dead,NA,2005,SR,2005,SR,No
WL,APP,PLOT A,2005,July,10,5,SR,First.Appearance,NA,Dead,NA,2005,SR,2005,SR,No
WL,APP,PLOT A,1992,July,19.1,6,SF,First.Appearance,NA,Dead,NA,1992,SF,1992,SF,No
WL,APP,PLOT A,1993,July,19.2,7,SR,First.Appearance,NA,SF,1994,1993,SR,1994,SF,Yes
WL,APP,PLOT A,1994,July,19.2,7,SF,SR,1993,Dead,NA,1993,SR,1994,SF,No
WL,APP,PLOT A,1995,July,19.3,8,SR,First.Appearance,NA,SR,1996,1995,SR,1997,SR,Yes
WL,APP,PLOT A,1996,July,19.3,8,SR,SR,1995,SR,1997,1995,SR,1997,SR,Yes
WL,APP,PLOT A,1997,July,19.3,8,SR,SR,1996,Dead,NA,1995,SR,1997,SR,No
WL,APP,PLOT A,1994,July,23.1,9,SR,First.Appearance,NA,Dead,NA,1994,SR,1994,SR,No
WL,APP,PLOT A,1995,July,23.2,10,SR,First.Appearance,NA,SR,1996,1995,SR,1997,SR,Yes
WL,APP,PLOT A,1996,July,23.2,10,SR,SR,1995,SR,1997,1995,SR,1997,SR,Yes
WL,APP,PLOT A,1997,May,23.2,10,SR,SR,1996,Dead,NA,1995,SR,1997,SR,No
WL,APP,PLOT A,1999,May,23.3,11,SR,First.Appearance,NA,Dead,NA,1999,SR,1999,SR,No
WL,APP,PLOT A,1990,July,24.1,12,SR,No.record,NA,SR,1991,1990,SR,1993,SF,Yes
WL,APP,PLOT A,1991,July,24.1,12,SR,SR,1990,SR,1992,1990,SR,1993,SF,Yes
WL,APP,PLOT A,1992,July,24.1,12,SR,SR,1991,SF,1993,1990,SR,1993,SF,Yes
WL,APP,PLOT A,1993,July,24.1,12,SF,SR,1992,Dead,NA,1990,SR,1993,SF,No
WL,APP,PLOT A,1995,July,24.2,13,SR,First.Appearance,NA,SR,1996,1995,SR,1997,SR,Yes
WL,APP,PLOT A,1996,July,24.2,13,SR,SR,1995,SR,1997,1995,SR,1997,SR,Yes
WL,APP,PLOT A,1997,May,24.2,13,SR,SR,1996,Dead,NA,1995,SR,1997,SR,No
WL,APP,PLOT A,1997,July,25,14,SR,First.Appearance,NA,SR,1998,1997,SR,2000,SR,Yes
WL,APP,PLOT A,1998,July,25,14,SR,SR,1997,SR,1999,1997,SR,2000,SR,Yes
WL,APP,PLOT A,1999,May,25,14,SR,SR,1998,SR,2000,1997,SR,2000,SR,Yes
WL,APP,PLOT A,2000,May,25,14,SR,SR,1999,Dead,NA,1997,SR,2000,SR,No
WL,APP,PLOT A,2002,June,27,15,SR,First.Appearance,NA,SR,2003,2002,SR,2004,SR,Yes
WL,APP,PLOT A,2003,May,27,15,SR,SR,2002,SR,2004,2002,SR,2004,SR,Yes
WL,APP,PLOT A,2004,June,27,15,SR,SR,2003,Dead,NA,2002,SR,2004,SR,No
WL,APP,PLOT A,1990,July,28.1,16,SR,No.record,NA,SR,1991,1990,SR,1992,MF,Yes
WL,APP,PLOT A,1991,July,28.1,16,SR,SR,1990,MF,1992,1990,SR,1992,MF,Yes
WL,APP,PLOT A,1992,July,28.1,16,MF,SR,1991,Dead,NA,1990,SR,1992,MF,No
WL,APP,PLOT A,1993,July,28.2,17,MR,First.Appearance,NA,MR,1994,1993,MR,1996,MF,Yes
WL,APP,PLOT A,1994,July,28.2,17,MR,MR,1993,MR,1995,1993,MR,1996,MF,Yes
WL,APP,PLOT A,1995,July,28.2,17,MR,MR,1994,MF,1996,1993,MR,1996,MF,Yes
WL,APP,PLOT A,1996,July,28.2,17,MF,MR,1995,Dead,NA,1993,MR,1996,MF,No
WL,APP,PLOT A,1997,July,28.3,18,SR,First.Appearance,NA,SR,1998,1997,SR,1998,SR,Yes
WL,APP,PLOT A,1998,July,28.3,18,SR,SR,1997,Dead,NA,1997,SR,1998,SR,No
WL,APP,PLOT A,1990,July,29.1,19,SR,No.record,NA,SR,1991,1990,SR,1993,SF,Yes
WL,APP,PLOT A,1991,July,29.1,19,SR,SR,1990,SR,1992,1990,SR,1993,SF,Yes
WL,APP,PLOT A,1992,July,29.1,19,SR,SR,1991,SF,1993,1990,SR,1993,SF,Yes
WL,APP,PLOT A,1993,July,29.1,19,SF,SR,1992,Dead,NA,1990,SR,1993,SF,No
WL,APP,PLOT A,1994,July,29.2,20,SR,First.Appearance,NA,Dead,NA,1994,SR,1994,SR,No
WL,APP,PLOT A,1990,July,30.1,21,SR,No.record,NA,SR,1991,1990,SR,1991,SR,Yes
WL,APP,PLOT A,1991,July,30.1,21,SR,SR,1990,Dead,NA,1990,SR,1991,SR,No
WL,APP,PLOT A,1993,July,30.2,22,SR,First.Appearance,NA,SF,1994,1993,SR,1994,SF,Yes
WL,APP,PLOT A,1994,July,30.2,22,SF,SR,1993,Dead,NA,1993,SR,1994,SF,No
WL,APP,PLOT A,1995,July,30.3,23,MR,First.Appearance,NA,MF,1996,1995,MR,1996,MF,Yes
WL,APP,PLOT A,1996,July,30.3,23,MF,MR,1995,Dead,NA,1995,MR,1996,MF,No
WL,APP,PLOT A,1997,July,30.4,24,SR,First.Appearance,NA,SR,1998,1997,SR,2000,SR,Yes
WL,APP,PLOT A,1998,July,30.4,24,SR,SR,1997,SR,1999,1997,SR,2000,SR,Yes
WL,APP,PLOT A,1999,July,30.4,24,SR,SR,1998,SR,2000,1997,SR,2000,SR,Yes
WL,APP,PLOT A,2000,May,30.4,24,SR,SR,1999,Dead,NA,1997,SR,2000,SR,No
WL,APP,PLOT A,1990,July,31.1,25,SR,No.record,NA,SF,1991,1990,SR,1991,SF,Yes
WL,APP,PLOT A,1991,July,31.1,25,SF,SR,1990,Dead,NA,1990,SR,1991,SF,No
WL,APP,PLOT A,1992,July,31.2,26,SR,First.Appearance,NA,SF,1993,1992,SR,1993,SF,Yes
WL,APP,PLOT A,1993,July,31.2,26,SF,SR,1992,Dead,NA,1992,SR,1993,SF,No
WL,APP,PLOT A,1994,July,31.3,27,SR,First.Appearance,NA,SR,1995,1994,SR,1995,SR,Yes
WL,APP,PLOT A,1995,July,31.3,27,SR,SR,1994,Dead,NA,1994,SR,1995,SR,No
WL,APP,PLOT A,2002,June,32,28,SR,First.Appearance,NA,SR,2003,2002,SR,2003,SR,Yes
WL,APP,PLOT A,2003,May,32,28,SR,SR,2002,Dead,NA,2002,SR,2003,SR,No
WL,APP,PLOT A,1990,May,33,29,SR,No.record,NA,Dead,NA,1990,SR,1990,SR,No
WL,APP,PLOT A,1990,July,34,30,SR,No.record,NA,Dead,NA,1990,SR,1990,SR,No
WL,APP,PLOT A,1990,July,35.1,31,SR,No.record,NA,SF,1991,1990,SR,1991,SF,Yes
WL,APP,PLOT A,1991,July,35.1,31,SF,SR,1990,Dead,NA,1990,SR,1991,SF,No
WL,APP,PLOT A,1992,July,35.2,32,SF,First.Appearance,NA,Dead,NA,1992,SF,1992,SF,No
WL,APP,PLOT A,1993,July,35.3,33,SF,First.Appearance,NA,Dead,NA,1993,SF,1993,SF,No
WL,APP,PLOT A,1994,July,35.4,34,SR,First.Appearance,NA,Dead,NA,1994,SR,1994,SR,No
WL,APP,PLOT A,1996,July,35.5,35,SR,First.Appearance,NA,SR,1997,1996,SR,2000,SR,Yes
WL,APP,PLOT A,1997,July,35.5,35,SR,SR,1996,SR,1998,1996,SR,2000,SR,Yes
WL,APP,PLOT A,1998,July,35.5,35,SR,SR,1997,SR,1999,1996,SR,2000,SR,Yes
WL,APP,PLOT A,1999,May,35.5,35,SR,SR,1998,SR,2000,1996,SR,2000,SR,Yes
WL,APP,PLOT A,2000,May,35.5,35,SR,SR,1999,Dead,NA,1996,SR,2000,SR,No
WL,APP,PLOT A,2005,July,36,36,SR,First.Appearance,NA,Dead,NA,2005,SR,2005,SR,No
WL,APP,PLOT A,1990,May,37,37,SR,No.record,NA,SR,1991,1990,SR,1992,SR,Yes
WL,APP,PLOT A,1991,July,37,37,SR,SR,1990,SR,1992,1990,SR,1992,SR,Yes
WL,APP,PLOT A,1992,July,37,37,SR,SR,1991,Dead,NA,1990,SR,1992,SR,No
WL,APP,PLOT A,1990,July,38.1,38,SF,No.record,NA,Dead,NA,1990,SF,1990,SF,No
WL,APP,PLOT A,1992,July,38.2,39,SR,First.Appearance,NA,SR,1993,1992,SR,1993,SR,Yes
WL,APP,PLOT A,1993,July,38.2,39,SR,SR,1992,Dead,NA,1992,SR,1993,SR,No
WL,APP,PLOT A,1990,July,39.1,40,SR,No.record,NA,SR,1991,1990,SR,1993,SR,Yes
WL,APP,PLOT A,1991,July,39.1,40,SR,SR,1990,SR,1992,1990,SR,1993,SR,Yes
WL,APP,PLOT A,1992,July,39.1,40,SR,SR,1991,SR,1993,1990,SR,1993,SR,Yes
WL,APP,PLOT A,1993,May,39.1,40,SR,SR,1992,Dead,NA,1990,SR,1993,SR,No
WL,APP,PLOT A,1993,July,39.2,41,SR,First.Appearance,NA,SF,1994,1993,SR,1994,SF,Yes
WL,APP,PLOT A,1994,July,39.2,41,SF,SR,1993,Dead,NA,1993,SR,1994,SF,No
WL,APP,PLOT A,1997,May,39.3,42,SR,First.Appearance,NA,Dead,NA,1997,SR,1997,SR,No
WL,APP,PLOT A,1996,July,40,43,SR,First.Appearance,NA,SR,1997,1996,SR,2000,SR,Yes
WL,APP,PLOT A,1997,July,40,43,SR,SR,1996,SR,1998,1996,SR,2000,SR,Yes
WL,APP,PLOT A,1998,July,40,43,SR,SR,1997,MR,1999,1996,SR,2000,SR,Yes
WL,APP,PLOT A,1999,July,40,43,MR,SR,1998,SR,2000,1996,SR,2000,SR,Yes
WL,APP,PLOT A,2000,May,40,43,SR,MR,1999,Dead,NA,1996,SR,2000,SR,No
WL,APP,PLOT A,1998,July,41,44,SR,First.Appearance,NA,SR,1999,1998,SR,2000,SR,Yes
WL,APP,PLOT A,1999,July,41,44,SR,SR,1998,SR,2000,1998,SR,2000,SR,Yes
WL,APP,PLOT A,2000,May,41,44,SR,SR,1999,Dead,NA,1998,SR,2000,SR,No
WL,APP,PLOT A,1990,July,42.1,45,SR,No.record,NA,SR,1991,1990,SR,1992,SF,Yes
WL,APP,PLOT A,1991,July,42.1,45,SR,SR,1990,SF,1992,1990,SR,1992,SF,Yes
WL,APP,PLOT A,1992,July,42.1,45,SF,SR,1991,Dead,NA,1990,SR,1992,SF,No
WL,APP,PLOT A,1993,July,42.2,46,SR,First.Appearance,NA,SF,1994,1993,SR,1994,SF,Yes
WL,APP,PLOT A,1994,July,42.2,46,SF,SR,1993,Dead,NA,1993,SR,1994,SF,No
WL,APP,PLOT A,1995,July,42.3,47,SR,First.Appearance,NA,SF,1996,1995,SR,1996,SF,Yes
WL,APP,PLOT A,1996,July,42.3,47,SF,SR,1995,Dead,NA,1995,SR,1996,SF,No
WL,APP,PLOT A,1997,July,42.4,48,SR,First.Appearance,NA,SR,1998,1997,SR,1998,SR,Yes
WL,APP,PLOT A,1998,July,42.4,48,SR,SR,1997,Dead,NA,1997,SR,1998,SR,No
WL,APP,PLOT A,1997,July,43,49,SR,First.Appearance,NA,SR,1998,1997,SR,2000,SR,Yes
WL,APP,PLOT A,1998,July,43,49,SR,SR,1997,SR,1999,1997,SR,2000,SR,Yes
WL,APP,PLOT A,1999,July,43,49,SR,SR,1998,SR,2000,1997,SR,2000,SR,Yes
WL,APP,PLOT A,2000,May,43,49,SR,SR,1999,Dead,NA,1997,SR,2000,SR,No
WL,APP,PLOT A,1990,July,44.1,50,SR,No.record,NA,SR,1991,1990,SR,1995,SR,Yes
WL,APP,PLOT A,1991,July,44.1,50,SR,SR,1990,SR,1992,1990,SR,1995,SR,Yes
WL,APP,PLOT A,1992,July,44.1,50,SR,SR,1991,MR,1993,1990,SR,1995,SR,Yes
WL,APP,PLOT A,1993,July,44.1,50,MR,SR,1992,SR,1994,1990,SR,1995,SR,Yes
WL,APP,PLOT A,1994,July,44.1,50,SR,MR,1993,SR,1995,1990,SR,1995,SR,Yes
WL,APP,PLOT A,1995,July,44.1,50,SR,SR,1994,Dead,NA,1990,SR,1995,SR,No
WL,APP,PLOT A,1997,July,44.2,51,SR,First.Appearance,NA,Dead,NA,1997,SR,1997,SR,No
WL,APP,PLOT A,1990,July,45.01,52,SR,No.record,NA,SR,1991,1990,SR,1992,SF,Yes
WL,APP,PLOT A,1991,July,45.01,52,SR,SR,1990,SF,1992,1990,SR,1992,SF,Yes
WL,APP,PLOT A,1992,July,45.01,52,SF,SR,1991,Dead,NA,1990,SR,1992,SF,No
WL,APP,PLOT A,1993,July,45.02,53,SF,First.Appearance,NA,Dead,NA,1993,SF,1993,SF,No
WL,APP,PLOT A,1994,July,45.03,54,SF,First.Appearance,NA,Dead,NA,1994,SF,1994,SF,No
WL,APP,PLOT A,1995,July,45.04,55,SR,First.Appearance,NA,Dead,NA,1995,SR,1995,SR,No
WL,APP,PLOT A,1996,July,45.05,56,SR,First.Appearance,NA,Dead,NA,1996,SR,1996,SR,No
WL,APP,PLOT A,1996,July,45.06,57,SR,First.Appearance,NA,SF,1997,1996,SR,1997,SF,Yes
WL,APP,PLOT A,1997,July,45.06,57,SF,SR,1996,Dead,NA,1996,SR,1997,SF,No
WL,APP,PLOT A,1998,July,45.07,58,SR,First.Appearance,NA,SF,1999,1998,SR,1999,SF,Yes
WL,APP,PLOT A,1999,July,45.07,58,SF,SR,1998,Dead,NA,1998,SR,1999,SF,No
WL,APP,PLOT A,2000,July,45.08,59,SF,First.Appearance,NA,Dead,NA,2000,SF,2000,SF,No
WL,APP,PLOT A,2001,May,45.09,60,SR,First.Appearance,NA,Dead,NA,2001,SR,2001,SR,No
WL,APP,PLOT A,2002,June,45.11,61,SR,First.Appearance,NA,SR,2003,2002,SR,2004,SF,Yes
WL,APP,PLOT A,2003,May,45.11,61,SR,SR,2002,SF,2004,2002,SR,2004,SF,Yes
WL,APP,PLOT A,2004,July,45.11,61,SF,SR,2003,Dead,NA,2002,SR,2004,SF,No
