SPECIES,SITE,PLOT,Year,Month,NEWROS,RAMET,stage.modified,PrevStage,PrevYear,NextStage,NextYear,firstYear,firstStage,lastYear,lastStage,Survival
WL,APP,PLOT B,2004,June,7,1,SR,First.Appearance,NA,inactive,2005,2004,SR,2009,SR,Yes
WL,APP,PLOT B,2005,July,7,1,inactive,SR,2004,SR,2006,2004,SR,2009,SR,Yes
WL,APP,PLOT B,2006,July,7,1,SR,inactive,2005,inactive,2007,2004,SR,2009,SR,Yes
WL,APP,PLOT B,2007,July,7,1,inactive,SR,2006,SR,2008,2004,SR,2009,SR,Yes
WL,APP,PLOT B,2008,June,7,1,SR,inactive,2007,SR,2009,2004,SR,2009,SR,Yes
WL,APP,PLOT B,2009,June,7,1,SR,SR,2008,NA,NA,2004,SR,2009,SR,NA
WL,APP,PLOT B,1998,July,8.1,2,SR,First.Appearance,NA,SR,1999,1998,SR,2002,SR,Yes
WL,APP,PLOT B,1999,May,8.1,2,SR,SR,1998,SR,2000,1998,SR,2002,SR,Yes
WL,APP,PLOT B,2000,May,8.1,2,SR,SR,1999,SR,2001,1998,SR,2002,SR,Yes
WL,APP,PLOT B,2001,May,8.1,2,SR,SR,2000,SR,2002,1998,SR,2002,SR,Yes
WL,APP,PLOT B,2002,May,8.1,2,SR,SR,2001,Dead,NA,1998,SR,2002,SR,No
WL,APP,PLOT B,2002,June,8.2,3,SR,First.Appearance,NA,Dead,NA,2002,SR,2002,SR,No
WL,APP,PLOT B,2003,June,8.3,4,SR,First.Appearance,NA,SR,2004,2003,SR,2006,SF,Yes
WL,APP,PLOT B,2004,June,8.3,4,SR,SR,2003,SR,2005,2003,SR,2006,SF,Yes
WL,APP,PLOT B,2005,July,8.3,4,SR,SR,2004,SF,2006,2003,SR,2006,SF,Yes
WL,APP,PLOT B,2006,July,8.3,4,SF,SR,2005,Dead,NA,2003,SR,2006,SF,No
WL,APP,PLOT B,2007,July,8.4,5,MF,First.Appearance,NA,Dead,NA,2007,MF,2007,MF,No
WL,APP,PLOT B,1998,July,9,6,SR,First.Appearance,NA,SR,1999,1998,SR,1999,SR,Yes
