SPECIES,SITE,PLOT,Year,Month,NEWROS,RAMET,stage.modified,PrevStage,PrevYear,NextStage,NextYear,firstYear,firstStage,lastYear,lastStage,Survival
WL,APP,PLOT C,1995,May,10,1,Seedling,First.Appearance,NA,Dead,NA,1995,Seedling,1995,Seedling,No
WL,APP,PLOT C,1991,July,11,2,SR,First.Appearance,NA,SR,1992,1991,SR,1993,SR,Yes
WL,APP,PLOT C,1992,July,11,2,SR,SR,1991,SR,1993,1991,SR,1993,SR,Yes
WL,APP,PLOT C,1993,July,11,2,SR,SR,1992,Dead,NA,1991,SR,1993,SR,No
WL,APP,PLOT C,1991,July,13.1,3,SR,First.Appearance,NA,SF,1992,1991,SR,1992,SF,Yes
WL,APP,PLOT C,1992,July,13.1,3,SF,SR,1991,Dead,NA,1991,SR,1992,SF,No
WL,APP,PLOT C,1993,July,13.2,4,SR,First.Appearance,NA,Dead,NA,1993,SR,1993,SR,No
WL,APP,PLOT C,1995,July,13.3,5,SR,First.Appearance,NA,Dead,NA,1995,SR,1995,SR,No
WL,APP,PLOT C,1996,May,13.4,6,SR,First.Appearance,NA,Dead,NA,1996,SR,1996,SR,No
WL,APP,PLOT C,1996,July,13.5,7,SR,First.Appearance,NA,Dead,NA,1996,SR,1996,SR,No
WL,APP,PLOT C,1997,May,13.6,8,SR,First.Appearance,NA,Dead,NA,1997,SR,1997,SR,No
WL,APP,PLOT C,1991,July,14.1,9,SR,First.Appearance,NA,SR,1992,1991,SR,1993,SF,Yes
WL,APP,PLOT C,1992,July,14.1,9,SR,SR,1991,SF,1993,1991,SR,1993,SF,Yes
WL,APP,PLOT C,1993,July,14.1,9,SF,SR,1992,Dead,NA,1991,SR,1993,SF,No
WL,APP,PLOT C,1994,July,14.2,10,SF,First.Appearance,NA,Dead,NA,1994,SF,1994,SF,No
WL,APP,PLOT C,2005,July,16,11,SR,First.Appearance,NA,SR,2006,2005,SR,2008,SR,Yes
WL,APP,PLOT C,2006,July,16,11,SR,SR,2005,SR,2007,2005,SR,2008,SR,Yes
WL,APP,PLOT C,2007,June,16,11,SR,SR,2006,SR,2008,2005,SR,2008,SR,Yes
WL,APP,PLOT C,2008,June,16,11,SR,SR,2007,Dead,NA,2005,SR,2008,SR,No
WL,APP,PLOT C,1997,July,17.1,12,SR,First.Appearance,NA,SR,1998,1997,SR,2000,SR,Yes
WL,APP,PLOT C,1998,July,17.1,12,SR,SR,1997,SR,1999,1997,SR,2000,SR,Yes
WL,APP,PLOT C,1999,July,17.1,12,SR,SR,1998,SR,2000,1997,SR,2000,SR,Yes
WL,APP,PLOT C,2000,May,17.1,12,SR,SR,1999,Dead,NA,1997,SR,2000,SR,No
WL,APP,PLOT C,2002,July,17.2,13,SR,First.Appearance,NA,SR,2003,2002,SR,2003,SR,Yes
WL,APP,PLOT C,2003,May,17.2,13,SR,SR,2002,Dead,NA,2002,SR,2003,SR,No
WL,APP,PLOT C,1991,July,18,14,SR,First.Appearance,NA,SR,1992,1991,SR,1993,SF,Yes
WL,APP,PLOT C,1992,July,18,14,SR,SR,1991,SF,1993,1991,SR,1993,SF,Yes
WL,APP,PLOT C,1993,July,18,14,SF,SR,1992,Dead,NA,1991,SR,1993,SF,No
WL,APP,PLOT C,1991,July,20,15,SR,First.Appearance,NA,SF,1992,1991,SR,1992,SF,Yes
WL,APP,PLOT C,1992,July,20,15,SF,SR,1991,Dead,NA,1991,SR,1992,SF,No
WL,APP,PLOT C,1991,May,22,16,SR,First.Appearance,NA,inactive,1992,1991,SR,1993,SR,Yes
WL,APP,PLOT C,1992,May,22,16,inactive,SR,1991,SR,1993,1991,SR,1993,SR,Yes
WL,APP,PLOT C,1993,July,22,16,SR,inactive,1992,Dead,NA,1991,SR,1993,SR,No
WL,APP,PLOT C,2007,June,23,17,SR,First.Appearance,NA,Dead,NA,2007,SR,2007,SR,No
WL,APP,PLOT C,1998,July,27,18,SR,First.Appearance,NA,SR,1999,1998,SR,2007,SR,Yes
WL,APP,PLOT C,1999,July,27,18,SR,SR,1998,SR,2000,1998,SR,2007,SR,Yes
WL,APP,PLOT C,2000,May,27,18,SR,SR,1999,SR,2001,1998,SR,2007,SR,Yes
WL,APP,PLOT C,2001,May,27,18,SR,SR,2000,MR,2002,1998,SR,2007,SR,Yes
WL,APP,PLOT C,2002,July,27,18,MR,SR,2001,SR,2003,1998,SR,2007,SR,Yes
WL,APP,PLOT C,2003,May,27,18,SR,MR,2002,SR,2004,1998,SR,2007,SR,Yes
WL,APP,PLOT C,2004,May,27,18,SR,SR,2003,inactive,2005,1998,SR,2007,SR,Yes
WL,APP,PLOT C,2005,July,27,18,inactive,SR,2004,SR,2006,1998,SR,2007,SR,Yes
WL,APP,PLOT C,2006,July,27,18,SR,inactive,2005,SR,2007,1998,SR,2007,SR,Yes
WL,APP,PLOT C,2007,June,27,18,SR,SR,2006,Dead,NA,1998,SR,2007,SR,No
WL,APP,PLOT C,2005,July,36,19,SR,First.Appearance,NA,Dead,NA,2005,SR,2005,SR,No
WL,APP,PLOT C,2001,May,38,20,SR,First.Appearance,NA,Dead,NA,2001,SR,2001,SR,No
WL,APP,PLOT C,1996,July,51.1,21,SR,First.Appearance,NA,SR,1997,1996,SR,1997,SR,Yes
WL,APP,PLOT C,1997,July,51.1,21,SR,SR,1996,Dead,NA,1996,SR,1997,SR,No
