SPECIES,SITE,PLOT,Year,Month,NEWROS,RAMET,stage.modified,PrevStage,PrevYear,NextStage,NextYear,firstYear,firstStage,lastYear,lastStage,Survival
WL,NVP,PLOT K,1990,July,1.1,1,SR,No.record,NA,SR,1991,1990,SR,1991,SR,Yes
WL,NVP,PLOT K,1991,July,1.1,1,SR,SR,1990,Dead,NA,1990,SR,1991,SR,No
WL,NVP,PLOT K,1993,July,1.2,2,SR,First.Appearance,NA,SR,1994,1993,SR,1995,SR,Yes
WL,NVP,PLOT K,1994,July,1.2,2,SR,SR,1993,SR,1995,1993,SR,1995,SR,Yes
WL,NVP,PLOT K,1995,May,1.2,2,SR,SR,1994,Dead,NA,1993,SR,1995,SR,No
WL,NVP,PLOT K,1996,July,2,3,SR,First.Appearance,NA,Dead,NA,1996,SR,1996,SR,No
WL,NVP,PLOT K,1990,July,3,4,SR,No.record,NA,SR,1991,1990,SR,1991,SR,Yes
WL,NVP,PLOT K,1991,July,3,4,SR,SR,1990,Dead,NA,1990,SR,1991,SR,No
WL,NVP,PLOT K,1990,July,4.1,5,SR,No.record,NA,SR,1991,1990,SR,1993,SR,Yes
WL,NVP,PLOT K,1991,July,4.1,5,SR,SR,1990,SR,1992,1990,SR,1993,SR,Yes
WL,NVP,PLOT K,1992,July,4.1,5,SR,SR,1991,SR,1993,1990,SR,1993,SR,Yes
WL,NVP,PLOT K,1993,July,4.1,5,SR,SR,1992,Dead,NA,1990,SR,1993,SR,No
WL,NVP,PLOT K,1995,July,4.2,6,SR,First.Appearance,NA,SR,1996,1995,SR,1998,SR,Yes
WL,NVP,PLOT K,1996,July,4.2,6,SR,SR,1995,inactive,1997,1995,SR,1998,SR,Yes
WL,NVP,PLOT K,1997,May,4.2,6,inactive,SR,1996,SR,1998,1995,SR,1998,SR,Yes
WL,NVP,PLOT K,1998,May,4.2,6,SR,inactive,1997,Dead,NA,1995,SR,1998,SR,No
WL,NVP,PLOT K,1990,July,5,7,SR,No.record,NA,SR,1991,1990,SR,1992,SR,Yes
WL,NVP,PLOT K,1991,July,5,7,SR,SR,1990,SR,1992,1990,SR,1992,SR,Yes
WL,NVP,PLOT K,1992,July,5,7,SR,SR,1991,Dead,NA,1990,SR,1992,SR,No
WL,NVP,PLOT K,1990,July,6,8,SR,No.record,NA,SR,1991,1990,SR,1994,SR,Yes
WL,NVP,PLOT K,1991,July,6,8,SR,SR,1990,SR,1992,1990,SR,1994,SR,Yes
WL,NVP,PLOT K,1992,July,6,8,SR,SR,1991,SR,1993,1990,SR,1994,SR,Yes
WL,NVP,PLOT K,1993,May,6,8,SR,SR,1992,SR,1994,1990,SR,1994,SR,Yes
WL,NVP,PLOT K,1994,May,6,8,SR,SR,1993,Dead,NA,1990,SR,1994,SR,No
WL,NVP,PLOT K,1990,July,7,9,SR,No.record,NA,SR,1991,1990,SR,1992,SR,Yes
WL,NVP,PLOT K,1991,July,7,9,SR,SR,1990,SR,1992,1990,SR,1992,SR,Yes
WL,NVP,PLOT K,1992,July,7,9,SR,SR,1991,Dead,NA,1990,SR,1992,SR,No
