SPECIES,SITE,PLOT,Year,Month,NEWROS,RAMET,stage.modified,PrevStage,PrevYear,NextStage,NextYear,firstYear,firstStage,lastYear,lastStage,Survival
WL,NVP,Plot M,1999,July,2,1,SR,First.Appearance,NA,SR,2000,1999,SR,2002,SR,Yes
WL,NVP,Plot M,2000,May,2,1,SR,SR,1999,inactive,2001,1999,SR,2002,SR,Yes
WL,NVP,Plot M,2001,May,2,1,inactive,SR,2000,SR,2002,1999,SR,2002,SR,Yes
WL,NVP,Plot M,2002,July,2,1,SR,inactive,2001,Dead,NA,1999,SR,2002,SR,No
WL,NVP,Plot M,1999,July,3,2,Seedling,First.Appearance,NA,Dead,NA,1999,Seedling,1999,Seedling,No
WL,NVP,Plot M,1999,July,4,3,SR,First.Appearance,NA,SR,2000,1999,SR,2002,SR,Yes
WL,NVP,Plot M,2000,May,4,3,SR,SR,1999,inactive,2001,1999,SR,2002,SR,Yes
WL,NVP,Plot M,2001,May,4,3,inactive,SR,2000,SR,2002,1999,SR,2002,SR,Yes
WL,NVP,Plot M,2002,July,4,3,SR,inactive,2001,Dead,NA,1999,SR,2002,SR,No
WL,NVP,Plot M,1999,July,5,4,SR,First.Appearance,NA,SR,2000,1999,SR,2007,SF,Yes
WL,NVP,Plot M,2000,May,5,4,SR,SR,1999,SR,2001,1999,SR,2007,SF,Yes
WL,NVP,Plot M,2001,May,5,4,SR,SR,2000,SR,2002,1999,SR,2007,SF,Yes
WL,NVP,Plot M,2002,July,5,4,SR,SR,2001,inactive,2003,1999,SR,2007,SF,Yes
WL,NVP,Plot M,2003,May,5,4,inactive,SR,2002,SR,2004,1999,SR,2007,SF,Yes
WL,NVP,Plot M,2004,May,5,4,SR,inactive,2003,SR,2005,1999,SR,2007,SF,Yes
WL,NVP,Plot M,2005,July,5,4,SR,SR,2004,SR,2006,1999,SR,2007,SF,Yes
WL,NVP,Plot M,2006,July,5,4,SR,SR,2005,SF,2007,1999,SR,2007,SF,Yes
WL,NVP,Plot M,2007,July,5,4,SF,SR,2006,Dead,NA,1999,SR,2007,SF,No
WL,NVP,Plot M,1991,July,6,5,SR,First.Appearance,NA,SR,1992,1991,SR,1992,SR,Yes
WL,NVP,Plot M,1992,May,6,5,SR,SR,1991,Dead,NA,1991,SR,1992,SR,No
WL,NVP,Plot M,1991,July,8,6,Seedling,First.Appearance,NA,SR,1992,1991,Seedling,1992,SR,Yes
WL,NVP,Plot M,1992,May,8,6,SR,Seedling,1991,Dead,NA,1991,Seedling,1992,SR,No
WL,NVP,Plot M,1991,July,9,7,Seedling,First.Appearance,NA,SR,1992,1991,Seedling,1992,SR,Yes
WL,NVP,Plot M,1992,May,9,7,SR,Seedling,1991,Dead,NA,1991,Seedling,1992,SR,No
WL,NVP,Plot M,1991,July,10,8,SR,First.Appearance,NA,Dead,NA,1991,SR,1991,SR,No
WL,NVP,Plot M,1991,July,11,9,Seedling,First.Appearance,NA,Dead,NA,1991,Seedling,1991,Seedling,No
WL,NVP,Plot M,1999,July,19.1,10,SR,First.Appearance,NA,SR,2000,1999,SR,2003,SR,Yes
WL,NVP,Plot M,2000,May,19.1,10,SR,SR,1999,SR,2001,1999,SR,2003,SR,Yes
WL,NVP,Plot M,2001,May,19.1,10,SR,SR,2000,SR,2002,1999,SR,2003,SR,Yes
WL,NVP,Plot M,2002,July,19.1,10,SR,SR,2001,SR,2003,1999,SR,2003,SR,Yes
WL,NVP,Plot M,2003,May,19.1,10,SR,SR,2002,Dead,NA,1999,SR,2003,SR,No
WL,NVP,Plot M,2004,May,19.2,11,SR,First.Appearance,NA,Dead,NA,2004,SR,2004,SR,No
WL,NVP,Plot M,1994,May,26.1,12,SR,First.Appearance,NA,SR,1995,1994,SR,1999,SR,Yes
WL,NVP,Plot M,1995,July,26.1,12,SR,SR,1994,SR,1996,1994,SR,1999,SR,Yes
WL,NVP,Plot M,1996,July,26.1,12,SR,SR,1995,SR,1997,1994,SR,1999,SR,Yes
WL,NVP,Plot M,1997,July,26.1,12,SR,SR,1996,SR,1998,1994,SR,1999,SR,Yes
WL,NVP,Plot M,1998,July,26.1,12,SR,SR,1997,SR,1999,1994,SR,1999,SR,Yes
WL,NVP,Plot M,1999,May,26.1,12,SR,SR,1998,Dead,NA,1994,SR,1999,SR,No
WL,NVP,Plot M,2002,May,26.2,13,SR,First.Appearance,NA,SR,2003,2002,SR,2003,SR,Yes
WL,NVP,Plot M,2003,May,26.2,13,SR,SR,2002,Dead,NA,2002,SR,2003,SR,No
WL,NVP,Plot M,1993,July,27.1,14,SR,First.Appearance,NA,SR,1994,1993,SR,1995,SR,Yes
WL,NVP,Plot M,1994,July,27.1,14,SR,SR,1993,SR,1995,1993,SR,1995,SR,Yes
WL,NVP,Plot M,1995,July,27.1,14,SR,SR,1994,Dead,NA,1993,SR,1995,SR,No
WL,NVP,Plot M,1996,May,27.2,15,SR,First.Appearance,NA,Dead,NA,1996,SR,1996,SR,No
WL,NVP,Plot M,1993,May,28,16,Seedling,First.Appearance,NA,Dead,NA,1993,Seedling,1993,Seedling,No
WL,NVP,Plot M,1993,May,29,17,Seedling,First.Appearance,NA,SR,1994,1993,Seedling,1994,SR,Yes
WL,NVP,Plot M,1994,July,29,17,SR,Seedling,1993,Dead,NA,1993,Seedling,1994,SR,No
WL,NVP,Plot M,2003,May,30,18,SR,First.Appearance,NA,SR,2004,2003,SR,2004,SR,Yes
WL,NVP,Plot M,2004,May,30,18,SR,SR,2003,Dead,NA,2003,SR,2004,SR,No
WL,NVP,Plot M,1993,May,31.1,19,SR,First.Appearance,NA,Dead,NA,1993,SR,1993,SR,No
WL,NVP,Plot M,1996,July,31.2,20,SR,First.Appearance,NA,SR,1997,1996,SR,1997,SR,Yes
WL,NVP,Plot M,1997,May,31.2,20,SR,SR,1996,Dead,NA,1996,SR,1997,SR,No
WL,NVP,Plot M,1997,July,32.1,21,SR,First.Appearance,NA,Dead,NA,1997,SR,1997,SR,No
WL,NVP,Plot M,1998,July,32.2,22,SR,First.Appearance,NA,SR,1999,1998,SR,1999,SR,Yes
WL,NVP,Plot M,1999,May,32.2,22,SR,SR,1998,Dead,NA,1998,SR,1999,SR,No
WL,NVP,Plot M,1992,July,55,23,SR,First.Appearance,NA,SR,1993,1992,SR,2003,SR,Yes
WL,NVP,Plot M,1993,July,55,23,SR,SR,1992,SR,1994,1992,SR,2003,SR,Yes
WL,NVP,Plot M,1994,July,55,23,SR,SR,1993,SR,1995,1992,SR,2003,SR,Yes
WL,NVP,Plot M,1995,July,55,23,SR,SR,1994,SR,1996,1992,SR,2003,SR,Yes
